,name,starttime,endtime,flightduration,totalstops,price
163,AKASA AIR,21:20,23:55,2hr 35min,non-stop,7226
164,SPICEJET,11:45,23:50,12hr 5min,1 stop,7271
165,AIR INDIA,14:00,20:25,6hr 25min,1 stop,7298
166,AIR INDIA,10:00,20:25,10hr 25min,1 stop,7298
167,AIR INDIA,07:00,20:25,13hr 25min,1 stop,7298
168,AIR INDIA,10:00,14:00,28hr,1 stop,7298
169,VISTARA,20:50,23:20,2hr 30min,non-stop,7403
170,INDIGO,18:55,21:50,2hr 55min,non-stop,7498
171,INDIGO,08:00,11:00,3hr,non-stop,7498
172,AIR INDIA,07:00,14:00,7hr,1 stop,7519
173,INDIGO,22:55,01:40,2hr 45min,non-stop,5341
174,SPICEJET,18:30,21:15,2hr 45min,non-stop,7707
175,GO FIRST,22:45,07:45,9hr,1 stop,7880
176,AIR INDIA,08:00,18:25,10hr 25min,1 stop,7900
177,AIR INDIA,08:00,20:25,12hr 25min,1 stop,7900
178,AIR INDIA,22:30,20:25,21hr 55min,1 stop,7900
179,AIR INDIA,22:30,14:00,15hr 30min,1 stop,7981
180,AIR INDIA,17:40,14:00,20hr 20min,1 stop,7981
181,AIR INDIA,14:00,14:00,24hr,1 stop,7981
182,AIRASIA INDIA,06:55,12:25,5hr 30min,1 stop,8048
183,INDIGO,13:30,20:35,7hr 5min,1 stop,8128
184,AIR INDIA,08:00,14:00,6hr,1 stop,8201
185,GO FIRST,14:10,01:20,11hr 10min,1 stop,8229
186,AIR INDIA,13:30,16:20,2hr 50min,non-stop,8233
187,AIR INDIA,06:10,09:00,2hr 50min,non-stop,8233
188,AIR INDIA,17:15,20:15,3hr,non-stop,8233
189,INDIGO,22:55,01:40,2hr 45min,non-stop,5341
190,VISTARA,14:10,16:45,2hr 35min,non-stop,8401
191,INDIGO,17:25,20:00,2hr 35min,non-stop,8439
192,AIR INDIA,13:05,20:25,31hr 20min,2 stops,8506
193,AIRASIA INDIA,15:45,20:45,5hr,1 stop,8569
194,AIR INDIA,12:55,20:25,31hr 30min,2 stops,8579
195,AIR INDIA,20:00,20:25,24hr 25min,1 stop,8792
196,AIR INDIA,20:00,14:00,18hr,1 stop,8873
197,GO FIRST,16:50,22:10,5hr 20min,1 stop,8916
198,GO FIRST,18:50,01:20,6hr 30min,1 stop,8916
199,GO FIRST,11:05,22:10,11hr 5min,1 stop,8916
200,GO FIRST,18:50,07:45,12hr 55min,1 stop,8916
201,GO FIRST,14:10,07:35,17hr 25min,2 stops,8916
202,AIR INDIA,16:00,20:25,28hr 25min,2 stops,8926
203,AIR INDIA,22:30,08:40,10hr 10min,1 stop,9514
204,AIR INDIA,17:40,08:40,15hr,1 stop,9514
